"year";"country_iso3";"prod_code";"prod_descr";"sector";"X_cp";"gini";"gini_year";"hs2";"tot_exp_c";"tot_exp_p";"tot_world_exp";"RCA_cp";"s_cp";"M_cp";"diversity_c";"ubiquity_p";"eci_c";"pci_p";"dens_cp";"coi_c";"cog_cp";"PGI_p";"PGI_Z";"DENS_Z";"COG_Z";"EBS";"prod_code_str";"hs4";"policy_sector";"RANK"
2024;"ZAF";1105;"Flour, meal, powder, flakes, granules and pellets of potatoes";"11";2039,826;63;2014;11;155041390,38;1331839,094;22733684200,976;0,224576098531033;1,31566544585318e-05;0;167;11;-0,0670669125439501;0,479348401205481;0,134263751599842;-3,55265424216155;0,229453887760554;28,1046925169361;-2,00893327853405;-0,562595286450502;0,639584852112806;0,695307614732118;"1105";1105;"Agro-processing";24
2024;"ZAF";404;"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included";"40";4129,141;63;2014;40;155041390,38;5251771,374;22733684200,976;0,115285867001006;2,66325075509169e-05;0;167;25;-0,0670669125439501;0,486467124743514;0,160545302425427;-3,55265424216155;0,184036720890041;29,8305513563731;-1,50334680311265;0,14600131437971;0,426747073745419;0,692031730412593;"0404";404;"Non-priority Sector";25
2024;"ZAF";3910;"Silicones in primary forms";"39";4287,863;63;2014;39;155041390,38;8590599,208;22733684200,976;0,0731879548889788;2,76562470801547e-05;0;167;10;-0,0670669125439501;1,76558411707374;0,116332938221409;-3,55265424216155;0,541377554637064;31,5567880252606;-0,997649643401281;-1,04604139259541;2,10134798823014;0,684318746345336;"3910";3910;"Non-priority Sector";26
2024;"ZAF";7222;"Stainless steel bars and rods, angles, shapes and sections";"72";7717,922;63;2014;72;155041390,38;7061256,797;22733684200,976;0,160265686343367;4,97797522396032e-05;0;167;15;-0,0670669125439501;1,59284240811687;0,126021607967091;-3,55265424216155;0,503908703863547;31,8734199572709;-0,904893029214248;-0,78481790186923;1,92575828270423;0,681944470016415;"7222";7222;"Metal Fabrication";27
2024;"ZAF";8608;"Railway or tramway track fixtures and fittings; mechanical (including electro-mechanical) signalling, safety or traffic control equipment for railways, tramways, roads, inland waterways, parking facilities, port installations or airfields; parts thereof";"86";3834,863;63;2014;86;155041390,38;1171623,014;22733684200,976;0,47993688453518;2,47344466571211e-05;0;167;23;-0,0670669125439501;0,785544880762916;0,149955132582232;-3,55265424216155;0,312767450286919;31,1015138442535;-1,131021193418;-0,139528196527132;1,03001593308577;0,673836309992213;"8608";8608;"Motor Vehicles";28
2024;"ZAF";8607;"Railway or tramway locomotives or rolling stock; parts thereof";"86";29473,762;63;2014;86;155041390,38;14299744,965;22733684200,976;0,302224347614452;0,000190102539249429;0;167;27;-0,0670669125439501;0,68259405770631;0,153956158762226;-3,55265424216155;0,240256730599383;30,4001065709662;-1,33649688067174;-0,0316535292446956;0,690210050210778;0,665017800545941;"8607";8607;"Motor Vehicles";29
2024;"ZAF";8420;"Machines; calendering or other rolling machines, for other than metal or glass and cylinders therefor";"84";2232,543;63;2014;84;155041390,38;1677283,531;22733684200,976;0,195171103702645;1,43996580173083e-05;0;167;14;-0,0670669125439501;1,85833435673656;0,112551999538457;-3,55265424216155;0,539230585031118;31,3771936956506;-1,05026139937945;-1,14798211582241;2,09128667721849;0,66452198692518;"8420";8420;"Metal Fabrication";30
2024;"ZAF";4810;"Paper and paperboard, coated one or both sides with kaolin (china clay) or organic substances, with or without binder, no other coating, surface coloured or not, surface decorated or printed, in rolls or rectangular (including square) sheets, of any size";"48";15615,201;63;2014;48;155041390,38;25797978,573;22733684200,976;0,0887532100287497;0,00010071633750012;0;167;13;-0,0670669125439501;0,711155695006718;0,140016678100256;-3,55265424216155;0,281083904506073;29,8412435236368;-1,5002145566983;-0,407486320846732;0,881537814359813;0,658088683403794;"4810";4810;"Forestry";31
2024;"ZAF";5906;"Textile fabrics, rubberised; other than those of heading no. 5902";"59";2402,345;63;2014;59;155041390,38;1801263,97;22733684200,976;0,195560069431289;1,54948623339352e-05;0;167;15;-0,0670669125439501;1,07618141141731;0,135650455073145;-3,55265424216155;0,389509143886074;31,1921923720731;-1,10445712211095;-0,525207334192168;1,389649364655;0,656299717524593;"5906";5906;"CTFL";32
2024;"ZAF";8484;"Gaskets and similar joints of metal sheeting combined with other material or of two or more layers of metal; sets or assortments of gaskets and similar joints, dissimilar in composition, put up in pouches, envelopes or similar packings; mechanical seals";"84";25933,451;63;2014;84;155041390,38;8738792,845;22733684200,976;0,435142033330055;0,000167267920756117;0;167;18;-0,0670669125439501;1,26712982617949;0,132215450368076;-3,55265424216155;0,448002486709925;31,8128264505832;-0,922643761069968;-0,617821072019167;1,66376582752035;0,656196172190383;"8484";8484;"Metal Fabrication";33
2024;"ZAF";8466;"Machine-tools; parts and accessories suitable for use solely or principally with the machines of headings 8456 to 8465, and tool holders for any type of tool for working in the hand";"84";6188,9;63;2014;84;155041390,38;19230910,714;22733684200,976;0,0471884576111363;3,99177276779527e-05;0;167;19;-0,0670669125439501;1,55444523956387;0,132827746027571;-3,55265424216155;0,443722557303957;31,8464061163729;-0,912806673305605;-0,601312509571669;1,6437088594375;0,651734341057144;"8466";8466;"Metal Fabrication";34
2024;"ZAF";8408;"Compression-ignition internal combustion piston engines (diesel or semi-diesel engines)";"84";117720,5;63;2014;84;155041390,38;48124984,595;22733684200,976;0,358677110936919;0,000759284341500498;0;167;16;-0,0670669125439501;1,17984340680917;0,1339197577288;-3,55265424216155;0,440143958604704;31,9053061010622;-0,895552054920257;-0,571869963175039;1,62693852677916;0,650206872841461;"8408";8408;"Metal Fabrication";35
2024;"ZAF";3822;"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material";"38";103720,924;63;2014;38;155041390,38;45990975,663;22733684200,976;0,330686086540799;0,000668988608434073;0;167;14;-0,0670669125439501;1,5402486504495;0,131117288911119;-3,55265424216155;0,466031134461334;32,0752834515163;-0,845757571412233;-0,647429426591795;1,74825320528475;0,648860450035064;"3822";3822;"Chemicals";36
2024;"ZAF";8460;"Machine-tools; for deburring, sharpening, grinding, honing, lapping, polishing or otherwise finishing metal, sintered metal carbides or cermets by means of grinding stones, abrasives or polishing products";"84";1767,248;63;2014;84;155041390,38;4192739,074;22733684200,976;0,0618047467762101;1,13985561898571e-05;0;167;12;-0,0670669125439501;1,90669045654675;0,11763361180948;-3,55265424216155;0,551706794182103;32,2126269180733;-0,805523110984773;-1,01097295658822;2,14975374641533;0,648101300270629;"8460";8460;"Metal Fabrication";37
2024;"ZAF";3909;"Amino-resins, phenolic resins and polyurethanes, in primary forms";"39";10706,328;63;2014;39;155041390,38;20115174,486;22733684200,976;0,0780438900873847;6,90546438841863e-05;0;167;19;-0,0670669125439501;1,16435439083355;0,130835632583932;-3,55265424216155;0,367831134884303;30,5569975747194;-1,29053601307335;-0,65502337404838;1,28806004076521;0,641190893263393;"3909";3909;"Non-priority Sector";38
2024;"ZAF";2921;"Amine-function compounds";"29";5933,025;63;2014;29;155041390,38;11064530,709;22733684200,976;0,0786258490513736;3,82673619312779e-05;0;167;16;-0,0670669125439501;1,29008192606401;0,125976875424623;-3,55265424216155;0,452380058727791;31,5851313727674;-0,989346523331371;-0,786023969492472;1,68428037669032;0,629200976843072;"2921";2921;"Chemicals";39
2024;"ZAF";8428;"Lifting, handling, loading or unloading machinery; n.e.c. in heading no. 8425, 8426 or 8427 (e.g. lifts, escalators, conveyors, teleferics)";"84";48458,225;63;2014;84;155041390,38;37837259,678;22733684200,976;0,187788933275092;0,000312550247912708;0;167;25;-0,0670669125439501;1,00088396579708;0,144083749440479;-3,55265424216155;0,324337449545524;31,2303178503502;-1,09328834877594;-0,297830960470872;1,08423624464626;0,626564544317108;"8428";8428;"Metal Fabrication";40
2024;"ZAF";7226;"Alloy steel flat-rolled products, of a width of less than 600mm";"72";548,42;63;2014;72;155041390,38;4324725,908;22733684200,976;0,0185941728944732;3,53724898013263e-06;0;167;14;-0,0670669125439501;1,36470026135955;0,121045771142256;-3,55265424216155;0,454052132404918;31,2282823215309;-1,0938846523773;-0,918975169975778;1,6921161901333;0,622341890844942;"7226";7226;"Metal Fabrication";41
2024;"ZAF";5910;"Textiles; transmission or conveyor belts or belting, of textile material, whether or not impregnated, coated, covered or laminated with plastics, or reinforced with metal or other material";"59";1358,927;63;2014;59;155041390,38;724603,219;22733684200,976;0,274990719262854;8,76493042708999e-06;0;167;20;-0,0670669125439501;1,12293472198788;0,132173729481957;-3,55265424216155;0,377052611593929;31,0540338772558;-1,14493034323893;-0,618945940117086;1,33127450682248;0,619086303314776;"5910";5910;"CTFL";42
2024;"ZAF";8701;"Tractors; (other than tractors of heading no 8709)";"87";217231,086;63;2014;87;155041390,38;70734429,837;22733684200,976;0,45031175561914;0,00140111673061997;0;167;18;-0,0670669125439501;0,977554290032654;0,141645072555655;-3,55265424216155;0,356778983006661;31,6182193975966;-0,979653460683474;-0,363581956771564;1,23626650951032;0,617446004474078;"8701";8701;"Motor Vehicles";43
2024;"ZAF";2912;"Aldehydes, whether or not with other oxygen function; cyclic polymers of aldehydes; paraformaldehyde";"29";1936,618;63;2014;29;155041390,38;2653592,342;22733684200,976;0,107011863608322;1,24909741537626e-05;0;167;14;-0,0670669125439501;1,37754217374068;0,126498989288691;-3,55265424216155;0,484481774778647;32,3035007180143;-0,778901835147804;-0,77194686606048;1,83471816039278;0,613891043160035;"2912";2912;"Chemicals";44
2024;"ZAF";7506;"Nickel; plates, sheets, strip and foil";"75";5409,544;63;2014;75;155041390,38;2021579,28;22733684200,976;0,392366615499006;3,48909667717855e-05;0;167;7;-0,0670669125439501;1,88524798349577;0,118791091863238;-3,55265424216155;0,435159547316872;30,8140907407556;-1,21522114681605;-0,979765268843123;1,60358015596761;0,613012011313514;"7506";7506;"Metal Fabrication";45
2024;"ZAF";8540;"Thermionic, cold cathode or photo-cathode valves and tubes (e.g. vacuum, vapour, gas filled valves and tubes, mercury arc rectifying valves and tubes, cathode-ray and television camera tubes)";"85";1886,858;63;2014;85;155041390,38;1947238,784;22733684200,976;0,142083018497305;1,2170027599568e-05;0;167;10;-0,0670669125439501;1,62461019588747;0,125085014564476;-3,55265424216155;0,447712724439785;31,6258685364635;-0,97741266261163;-0,810070098965869;1,66240791900071;0,609916827548824;"8540";8540;"Metal Fabrication";46
2024;"ZAF";8479;"Machinery and mechanical appliances; having individual functions, n.e.c. in this chapter";"84";128544,92;63;2014;84;155041390,38;100492272,402;22733684200,976;0,187561812047521;0,000829100665860528;0;167;21;-0,0670669125439501;1,49514491514706;0,123873841175627;-3,55265424216155;0,466323203623889;31,8560595017327;-0,909978735719746;-0,842725452983978;1,74962192455923;0,605625069098333;"8479";8479;"Metal Fabrication";47
2024;"ZAF";8407;"Reciprocating or rotary internal combustion piston engines";"84";21430,878;63;2014;84;155041390,38;53580643,467;22733684200,976;0,0586481351804774;0,000138226817674131;0;167;16;-0,0670669125439501;1,31320385747189;0,132392844407547;-3,55265424216155;0,432032502913441;32,1435042610642;-0,825772438293825;-0,613038218289914;1,58892593533822;0,600553385114044;"8407";8407;"Metal Fabrication";48
2024;"ZAF";5309;"Woven fabrics of flax";"53";417,536;63;2014;53;155041390,38;2317613,752;22733684200,976;0,0264164853694531;2,69306150426436e-06;0;167;14;-0,0670669125439501;0,373722385615464;0,128014011184984;-3,55265424216155;0,155469877215101;27,3307058877412;-2,2356709252848;-0,731099224571551;0,292874708697256;0,599148803136835;"5309";5309;"CTFL";49
2024;"ZAF";8406;"Turbines; steam and other vapour turbines";"84";2589,236;63;2014;84;155041390,38;4090414,83;22733684200,976;0,0928167699640194;1,67002888303174e-05;0;167;15;-0,0670669125439501;1,07222995735331;0,124090557154609;-3,55265424216155;0,394467671124801;30,8114234222021;-1,21600253180274;-0,836882410955319;1,41288643544089;0,597335518762771;"8406";8406;"Metal Fabrication";50
2024;"ZAF";8487;"Machinery parts; not containing electrical connectors, insulators, coils, contacts or other electrical features, n.e.c. in this chapter";"84";6567,079;63;2014;84;155041390,38;8261722,867;22733684200,976;0,116553088534468;4,23569408395033e-05;0;167;23;-0,0670669125439501;1,17849723875134;0,131371588568621;-3,55265424216155;0,382739313408559;31,2983892230972;-1,07334699283313;-0,640573062821862;1,35792401104881;0,596899313686694;"8487";8487;"Metal Fabrication";51
2024;"ZAF";8433;"Harvesting and threshing machinery, straw and fodder balers, grass or hay mowers; machines for cleaning, sorting or grading eggs, fruit or other agricultural produce, other than machinery of heading no 8437";"84";28344,565;63;2014;84;155041390,38;26236885,197;22733684200,976;0,158408940686058;0,00018281934218036;0;167;25;-0,0670669125439501;0,911601241870022;0,144594469003877;-3,55265424216155;0,306540025513018;31,4104713950026;-1,04051277200562;-0,284061067324041;1,00083244707912;0,585761383920234;"8433";8433;"Metal Fabrication";52
2024;"ZAF";1506;"Animal fats and oils and their fractions; whether or not refined, but not chemically modified, n.e.c. in chapter 15";"15";106,709;63;2014;15;155041390,38;504974,082;22733684200,976;0,0309851876121056;6,88261371614771e-07;0;167;17;-0,0670669125439501;0,722931826947056;0,142415741099834;-3,55265424216155;0,29440462883553;31,063273326236;-1,1422236673869;-0,342803384213343;0,943962522193509;0,581127601789022;"1506";1506;"Agro-processing";53
2024;"ZAF";8426;"Derricks, cranes, including cable cranes, mobile lifting frames, straddle carriers and works trucks fitted with a crane";"84";31959,587;63;2014;84;155041390,38;17591926,323;22733684200,976;0,266385100057806;0,000206135838447194;0;167;19;-0,0670669125439501;0,816490141141082;0,127131507783855;-3,55265424216155;0,374594683776541;30,9665584865082;-1,17055606272627;-0,754893060575031;1,31975595707384;0,578472986408361;"8426";8426;"Metal Fabrication";54
